budget,revenue,vote_average,vote_count,genres,release_date,popularity,runtime,year
112000000.0,237382724.0,4.9,621,[],2010-12-25,22.845143,85.0,2010
120000000.0,227817248.0,5.5,1251,"['Action', 'Crime', 'Comedy']",2011-01-12,31.703608,119.0,2011
110000000.0,337580051.0,6.1,2397,"['Action', 'War']",2014-03-05,71.510596,102.0,2014
110000000.0,563749323.0,5.5,1179,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']",2011-07-29,36.65422,103.0,2011
110000000.0,103951461.0,5.7,389,"['Animation', 'Family']",2004-04-02,19.625972,76.0,2004
110000000.0,179246868.0,5.9,1998,"['Adventure', 'Science Fiction']",2016-03-09,86.105615,121.0,2016
110000000.0,299268508.0,6.6,2692,"['Action', 'Science Fiction', 'Drama']",2011-09-28,37.195046,104.0,2011
105000000.0,347434178.0,5.5,695,"['Fantasy', 'Family', 'Comedy', 'Animation']",2013-07-30,32.473628,105.0,2013
160000000.0,164508066.0,4.1,434,"['Action', 'Adventure', 'Thriller']",1997-06-13,23.336875,121.0,1997
110000000.0,125537191.0,6.6,2303,"['Science Fiction', 'Action', 'Adventure']",2013-10-23,45.94834,114.0,2013
110000000.0,383531464.0,6.4,2089,"['Action', 'Thriller']",2007-06-20,48.93337,128.0,2007
110000000.0,72178895.0,5.7,672,"['Action', 'Adventure', 'Comedy']",2004-06-16,22.643776,120.0,2004
107000000.0,87713825.0,6.7,447,['Drama'],2001-12-11,18.866672,157.0,2001
24000000.0,52313200.5,4.9,366,"['Comedy', 'Fantasy', 'Family']",2003-11-21,18.251129,82.0,2003
130000000.0,211643158.0,6.6,1157,"['Drama', 'Action', 'Adventure', 'History', 'War']",2005-05-03,44.490453,144.0,2005
133000000.0,300135367.0,5.8,959,"['Animation', 'Fantasy', 'Family', 'Comedy']",1999-12-17,30.475297,84.0,1999
105000000.0,267045765.0,6.7,1247,"['Romance', 'Family', 'Animation', 'Music']",2009-12-08,62.479574,97.0,2009
126000000.0,162949164.0,6.5,1770,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",2005-07-20,37.68056,136.0,2005
90000000.0,10372291.0,3.7,16,"['Comedy', 'Romance']",2001-04-27,1.004579,104.0,2001
90000000.0,237202299.0,6.1,1485,"['Action', 'Crime', 'Thriller']",2000-06-09,52.995628,118.0,2000
102000000.0,358372926.0,7.1,2608,"['Action', 'Thriller', 'Science Fiction', 'Mystery']",2002-06-20,65.948959,145.0,2002
150000000.0,599045960.0,7.3,3855,"['Adventure', 'Action', 'Thriller']",2006-11-14,88.935165,144.0,2006
100000000.0,362211740.0,5.6,1243,"['Thriller', 'Science Fiction', 'Action', 'Adventure']",2001-07-25,51.188633,119.0,2001
80000000.0,214104620.0,6.5,1344,"['History', 'Crime', 'Drama']",2009-07-01,33.691694,140.0,2009
100000000.0,266465037.0,7.4,1502,"['Drama', 'Crime']",2007-11-02,42.361215,157.0,2007
115000000.0,378882411.0,6.8,1116,"['Action', 'Thriller']",1994-07-14,38.729418,141.0,1994
100000000.0,150166126.0,6.2,954,"['Thriller', 'Drama', 'Crime']",2009-06-11,40.597856,106.0,2009
100000000.0,310650585.0,5.4,1060,"['Comedy', 'Romance']",2010-12-21,32.389353,98.0,2010
100000000.0,170432927.0,6.1,1383,"['Action', 'Comedy', 'Crime']",2010-08-06,24.399642,107.0,2010
100000000.0,242295562.0,5.6,543,"['Action', 'Drama', 'Mystery', 'Thriller']",1996-06-21,24.507987,115.0,1996
100000000.0,100138851.0,6.8,1129,"['Drama', 'Animation', 'Family']",1996-06-21,46.727941,91.0,1996
100000000.0,169327687.0,7.2,1490,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",2000-12-09,51.113717,78.0,2000
100000000.0,312573423.0,6.1,2896,[],2012-08-08,53.732892,103.0,2012
100000000.0,347451894.0,6.4,1926,"['Adventure', 'Action', 'Thriller', 'Mystery']",2004-11-19,58.849256,131.0,2004
100000000.0,249288105.0,4.9,967,"['Fantasy', 'Action', 'Adventure', 'Family']",2006-12-14,30.863434,104.0,2006
100000000.0,100086793.0,6.4,572,"['Family', 'Fantasy']",2009-10-16,31.586215,101.0,2009
100000000.0,268426634.0,6.4,1121,"['Animation', 'Adventure', 'Family', 'Fantasy']",2013-05-15,36.711378,102.0,2013
100000000.0,278731369.0,6.0,1699,"['Action', 'Thriller', 'Romance']",2010-12-08,41.426678,103.0,2010
100000000.0,211989043.0,5.5,482,"['Action', 'Fantasy', 'Horror', 'Mystery']",1999-11-24,20.652943,121.0,1999
100000000.0,170877916.0,7.3,2281,"['Drama', 'Thriller', 'Action']",2006-12-07,52.792678,143.0,2006
100000000.0,336529144.0,5.2,1498,"['Action', 'Crime', 'Fantasy']",1995-05-31,48.205606,121.0,1995
105000000.0,121214377.0,6.7,1560,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",1997-11-06,58.782359,129.0,1997
102000000.0,130482868.0,6.6,2977,"['Drama', 'Science Fiction']",2012-10-26,73.872343,172.0,2012
80000000.0,140073390.0,6.5,703,"['Animation', 'Adventure', 'Family', 'Fantasy']",2010-07-10,37.321848,97.0,2010
100000000.0,82102379.0,4.2,808,"['Action', 'Crime']",2004-07-22,32.271938,104.0,2004
100000000.0,243400000.0,5.6,1680,"['Action', 'Adventure']",2014-07-23,76.842247,99.0,2014
140000000.0,109578115.0,7.2,948,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Science Fiction']",2002-11-26,38.924136,95.0,2002
100000000.0,68688831.0,5.3,381,"['Adventure', 'Comedy', 'Science Fiction']",2009-06-05,19.38841,102.0,2009
90000000.0,206172544.0,6.1,1795,"['Action', 'Adventure', 'Thriller']",2014-08-04,61.025639,127.0,2014
105000000.0,133718711.0,5.5,783,"['Action', 'Crime', 'Thriller']",2015-12-03,33.507289,114.0,2015
84000000.0,52313200.5,3.6,338,"['Fantasy', 'Comedy', 'Family', 'Adventure']",2005-02-18,17.815595,94.0,2005
100000000.0,93820758.0,6.5,1276,"['Thriller', 'Drama', 'Adventure', 'Action', 'History']",2015-11-20,50.767332,122.0,2015
100000000.0,7103973.0,4.4,142,"['Action', 'Comedy', 'Science Fiction']",2002-08-15,12.092241,95.0,2002
100000000.0,94882889.0,6.4,717,"['War', 'Action', 'Adventure', 'Drama', 'Thriller']",2010-03-11,30.254021,115.0,2010
99000000.0,246233113.0,6.5,604,['Animation'],2015-11-05,34.308098,104.0,2015
10000000.0,13835130.0,7.1,73,[],1997-09-08,3.091077,110.0,1997
98000000.0,433013274.0,6.0,2206,"['Adventure', 'Action', 'Fantasy']",2001-04-28,41.862983,130.0,2001
100000000.0,193772504.0,7.1,1910,"['Drama', 'History', 'Crime']",2002-12-14,46.160048,167.0,2002
94000000.0,95311434.0,7.1,187,"['Drama', 'History', 'War']",2011-12-15,12.516546,145.0,2011
85000000.0,149044513.0,5.9,601,"['Animation', 'Comedy', 'Family']",2007-06-08,23.230851,85.0,2007
90000000.0,102000000.0,5.4,334,"['Action', 'Comedy', 'Science Fiction']",2004-06-10,19.224754,93.0,2004
92000000.0,172989651.0,7.2,1811,"['Action', 'History', 'War']",2001-12-28,44.455166,144.0,2001
24000000.0,104907746.0,5.6,578,['Comedy'],2012-08-09,16.460356,85.0,2012
100000000.0,288347692.0,5.4,426,"['Comedy', 'Drama', 'Romance']",2010-05-26,18.325897,146.0,2010
95000000.0,76432727.0,7.0,858,"['Adventure', 'Animation', 'Comedy', 'Family']",2000-03-31,37.054554,89.0,2000
65000000.0,93525586.0,6.6,1065,"['Fantasy', 'Drama']",2009-12-26,29.257137,136.0,2009
95000000.0,114178613.0,5.2,957,"['Adventure', 'Fantasy']",2014-12-12,63.628459,102.0,2014
115000000.0,274703340.0,5.7,2192,"['Adventure', 'Fantasy', 'Action', 'Thriller']",2001-06-11,41.498631,100.0,2001
100000000.0,103039258.0,5.9,2295,"['Thriller', 'Science Fiction', 'Drama', 'Mystery']",2014-04-16,58.991388,119.0,2014
93000000.0,368780809.0,5.7,2077,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",2001-07-18,1.859364,92.0,2001
90000000.0,162839667.0,6.3,572,"['Adventure', 'Family', 'Fantasy']",2008-02-14,21.436682,95.0,2008
92000000.0,304654182.0,5.2,3493,"['Action', 'Thriller']",2013-02-06,65.402595,104.0,2013
145000000.0,25819961.0,5.8,106,"['Western', 'History', 'War']",2004-04-07,10.660441,137.0,2004
98000000.0,10017322.0,5.7,136,"['Action', 'Adventure']",1995-12-22,7.029308,119.0,1995
95000000.0,226497209.0,6.0,2010,"['Adventure', 'Fantasy', 'Family']",2010-02-01,61.121717,104.0,2010
90000000.0,497366869.0,7.3,3806,"['Animation', 'Comedy', 'Family']",1999-10-30,73.575118,92.0,1999
100000000.0,167805466.0,6.3,1165,[],2010-11-04,37.698465,98.0,2010
90000000.0,347325802.0,6.4,1054,"['Action', 'Comedy', 'Crime', 'Thriller']",2001-08-03,35.814765,90.0,2001
100000000.0,155464351.0,6.3,488,"['Drama', 'Horror', 'Mystery', 'Thriller']",2000-07-21,15.835672,130.0,2000
100000000.0,242988466.0,6.5,1747,"['Animation', 'Comedy', 'Family']",2009-09-17,46.781182,90.0,2009
